,destination,size,product_type,rate
0,-,14T,Nbo,51352.39
1,BOMET,14T,"51,352.39",51352.39
2,-,30T,Nbo,80244.39
3,BOMET,30T,"80,244.39",80244.39
4,-,7.5T,Nbo,40060.89
5,BOMET,7.5T,"40,060.89",40060.89
6,BOMET,P/UP,"41,434.88",41434.88
7,-,14T,Nbo,71556.97
8,ELDORET,14T,"71,556.97",71556.97
9,-,30T,Nbo,112067.9
10,ELDORET,30T,"112,067.90",112067.9
11,-,7.5T,Nbo,64505.51
12,ELDORET,7.5T,"64,505.51",64505.51
13,ELDORET,P/UP,"64,359.60",64359.6
14,-,14T,Nbo,58850.8
15,KERICHO,14T,"58,850.80",58850.8
16,-,30T,Nbo,92336.02
17,KERICHO,30T,"92,336.02",92336.02
18,-,7.5T,Nbo,45729.2
19,KERICHO,7.5T,"45,729.20",45729.2
20,KERICHO,P/UP,"35,587.16",35587.16
21,-,14T,Nbo,66224.13
22,KISII,14T,"66,224.13",66224.13
23,-,30T,Nbo,104032.22
24,KISII,30T,"104,032.22",104032.22
25,-,7.5T,Nbo,53894.98
26,KISII,7.5T,"53,894.98",53894.98
27,KISII,P/UP,"44,874.07",44874.07
28,-,14T,Nbo,85177.05
29,KITALE,14T,"85,177.05",85177.05
30,-,30T,Nbo,133726.11
31,KITALE,30T,"133,726.11",133726.11
32,-,7.5T,Nbo,66170.04
33,KITALE,7.5T,"66,170.04",66170.04
34,KITALE,P/UP,"71,233.06",71233.06
35,-,14T,Nbo,25970.56
36,NAIVASHA,14T,"25,970.56",25970.56
37,-,30T,Nbo,39670.48
38,NAIVASHA,30T,"39,670.48",39670.48
39,-,7.5T,Nbo,20732.08
40,NAIVASHA,7.5T,"20,732.08",20732.08
41,NAIVASHA,P/UP,"25,385.67",25385.67
42,-,14T,Nbo,39149.01
43,NAKURU,14T,"39,149.01",39149.01
44,-,30T,Nbo,60921.52
45,NAKURU,30T,"60,921.52",60921.52
46,-,7.5T,Nbo,32775.03
47,NAKURU,7.5T,"32,775.03",32775.03
48,NAKURU,P/UP,"32,661.15",32661.15
56,-,14T,Nbo,35587.26
57,NAROK,14T,"35,587.26",35587.26
58,-,30T,Nbo,55177.99
59,NAROK,30T,"55,177.99",55177.99
60,-,7.5T,Nbo,28001.7
61,NAROK,7.5T,"28,001.70",28001.7
62,NAROK,P/UP,"26,349.55",26349.55
63,-,14T,Nbo,42898.22
64,NJORO,14T,"42,898.22",42898.22
65,-,30T,Nbo,66967.33
66,NJORO,30T,"66,967.33",66967.33
67,-,7.5T,Nbo,33528.3
68,NJORO,7.5T,"33,528.30",33528.3
69,NJORO,P/UP,"33,612.86",33612.86
70,-,14T,Nbo,43835.51
71,NYAHURURU,14T,"43,835.51",43835.51
72,-,30T,Nbo,68478.78
73,NYAHURURU,30T,"68,478.78",68478.78
74,-,7.5T,Nbo,39762.37
75,NYAHURURU,7.5T,"39,762.37",39762.37
76,NYAHURURU,P/UP,"40,172.29",40172.29
77,-,14T,Nbo,51427.29
78,BOMET,14T,"51,427.29",51427.29
79,-,30T,Nbo,80387.37
80,BOMET,30T,"80,387.37",80387.37
81,-,7.5T,Nbo,40183.44
82,BOMET,7.5T,"40,183.44",40183.44
83,-,P/UP,Nbo,41434.88
85,-,14T,Nbo,26045.45
86,NAIVASHA,14T,"26,045.45",26045.45
87,-,30T,Nbo,39813.46
88,NAIVASHA,30T,"39,813.46",39813.46
89,-,7.5T,Nbo,20854.63
90,NAIVASHA,7.5T,"20,854.63",20854.63
91,-,P/UP,Nbo,25385.67
93,-,14T,Nbo,35662.16
94,NAROK,14T,"35,662.16",35662.16
95,-,30T,Nbo,55320.98
96,NAROK,30T,"55,320.98",55320.98
97,-,7.5T,Nbo,28124.25
98,NAROK,7.5T,"28,124.25",28124.25
99,-,P/UP,Nbo,26349.55
101,BOMET,14T,Beer,59893.87
102,BOMET,14T,"59,893.87",59893.87
103,BOMET,14T,Keg,59956.94
104,BOMET,14T,"59,956.94",59956.94
105,BOMET,14T,Spirit,59168.18
106,BOMET,14T,"59,168.18",59168.18
107,BOMET,30T,Beer,95625.97
108,BOMET,30T,"95,625.97",95625.97
109,BOMET,30T,Keg,95729.92
110,BOMET,30T,"95,729.92",95729.92
111,BOMET,30T,Spirit,94876.91
112,BOMET,30T,"94,876.91",94876.91
113,BOMET,7.5T,Beer,45938.54
114,BOMET,7.5T,"45,938.54",45938.54
115,BOMET,7.5T,Keg,45966.58
116,BOMET,7.5T,"45,966.58",45966.58
117,BOMET,7.5T,Spirit,45196.5
118,BOMET,7.5T,"45,196.50",45196.5
119,BOMET,P/UP,Beer,41626.79
120,BOMET,P/UP,"41,626.79",41626.79
121,BOMET,P/UP,Spirit,40926.79
122,BOMET,P/UP,"40,926.79",40926.79
123,BUNGOMA,14T,Beer,104372.05
124,BUNGOMA,14T,"104,372.05",104372.05
125,BUNGOMA,30T,Beer,115190.0
126,BUNGOMA,30T,"115,190.00",115190.0
127,BUNGOMA,7.5T,Beer,79483.51
128,BUNGOMA,7.5T,"79,483.51",79483.51
129,BUNGOMA,P/UP,Beer,71857.94
130,BUNGOMA,P/UP,"71,857.94",71857.94
131,ELDORET,14T,Beer,82990.52
132,ELDORET,14T,"82,990.52",82990.52
133,ELDORET,14T,Keg,83053.59
134,ELDORET,14T,"83,053.59",83053.59
135,ELDORET,14T,Spirit,82264.82
136,ELDORET,14T,"82,264.82",82264.82
137,ELDORET,30T,Beer,132924.14
138,ELDORET,30T,"132,924.14",132924.14
139,ELDORET,30T,Keg,133028.09
140,ELDORET,30T,"133,028.09",133028.09
141,ELDORET,30T,Spirit,132175.08
142,ELDORET,30T,"132,175.08",132175.08
143,ELDORET,7.5T,Beer,63507.47
144,ELDORET,7.5T,"63,507.47",63507.47
145,ELDORET,7.5T,Keg,63535.5
146,ELDORET,7.5T,"63,535.50",63535.5
147,ELDORET,7.5T,Spirit,62765.42
148,ELDORET,7.5T,"62,765.42",62765.42
149,ELDORET,P/UP,Beer,57424.68
150,ELDORET,P/UP,"57,424.68",57424.68
151,ELDORET,P/UP,Spirit,56724.68
152,ELDORET,P/UP,"56,724.68",56724.68
153,GILGIL,14T,Beer,37130.55
154,GILGIL,14T,"37,130.55",37130.55
155,GILGIL,14T,Spirit,36404.86
156,GILGIL,14T,"36,404.86",36404.86
157,GILGIL,30T,Beer,58277.52
158,GILGIL,30T,"58,277.52",58277.52
159,GILGIL,30T,Spirit,57814.62
160,GILGIL,30T,"57,814.62",57814.62
161,GILGIL,7.5T,Beer,28988.26
162,GILGIL,7.5T,"28,988.26",28988.26
163,GILGIL,7.5T,Spirit,28246.21
164,GILGIL,7.5T,"28,246.21",28246.21
165,GILGIL,P/UP,Beer,26241.53
166,GILGIL,P/UP,"26,241.53",26241.53
167,GILGIL,P/UP,Spirit,25582.41
168,GILGIL,P/UP,"25,582.41",25582.41
169,ITEN,14T,Beer,89993.59
170,ITEN,14T,"89,993.59",89993.59
171,ITEN,14T,Spirit,89267.9
172,ITEN,14T,"89,267.90",89267.9
173,ITEN,30T,Beer,144175.3
174,ITEN,30T,"144,175.30",144175.3
175,ITEN,30T,Spirit,143712.41
176,ITEN,30T,"143,712.41",143712.41
177,ITEN,7.5T,Beer,68817.44
178,ITEN,7.5T,"68,817.44",68817.44
179,ITEN,7.5T,Spirit,68075.39
180,ITEN,7.5T,"68,075.39",68075.39
181,ITEN,P/UP,Beer,62278.8
182,ITEN,P/UP,"62,278.80",62278.8
183,ITEN,P/UP,Spirit,61619.68
184,ITEN,P/UP,"61,619.68",61619.68
185,KABARNET,14T,Beer,84752.24
186,KABARNET,14T,"84,752.24",84752.24
187,KABARNET,14T,Spirit,78130.02
188,KABARNET,14T,"78,130.02",78130.02
189,KABARNET,30T,Beer,125800.0
190,KABARNET,30T,"125,800.00",125800.0
191,KABARNET,30T,Spirit,125050.94
192,KABARNET,30T,"125,050.94",125050.94
193,KABARNET,7.5T,Beer,60344.14
194,KABARNET,7.5T,"60,344.14",60344.14
195,KABARNET,7.5T,Spirit,60760.0
196,KABARNET,7.5T,"60,760.00",60760.0
197,KABARNET,P/UP,Beer,54565.23
198,KABARNET,P/UP,"54,565.23",54565.23
199,KABARNET,P/UP,Spirit,53865.23
200,KABARNET,P/UP,"53,865.23",53865.23
201,KAPSABET,14T,Beer,82693.29
202,KAPSABET,14T,"82,693.29",82693.29
203,KAPSABET,14T,Keg,105212.94
204,KAPSABET,14T,"105,212.94",105212.94
205,KAPSABET,14T,Spirit,81835.61
206,KAPSABET,14T,"81,835.61",81835.61
207,KAPSABET,30T,Beer,132448.83
208,KAPSABET,30T,"132,448.83",132448.83
209,KAPSABET,30T,Keg,132315.67
210,KAPSABET,30T,"132,315.67",132315.67
211,KAPSABET,30T,Spirit,131462.67
212,KAPSABET,30T,"131,462.67",131462.67
213,KAPSABET,7.5T,Beer,63260.05
214,KAPSABET,7.5T,"63,260.05",63260.05
215,KAPSABET,7.5T,Keg,63219.17
216,KAPSABET,7.5T,"63,219.17",63219.17
217,KAPSABET,7.5T,Spirit,62449.09
218,KAPSABET,7.5T,"62,449.09",62449.09
219,KAPSABET,P/UP,Beer,57138.73
220,KAPSABET,P/UP,"57,138.73",57138.73
221,KAPSABET,P/UP,Spirit,56438.73
222,KAPSABET,P/UP,"56,438.73",56438.73
223,KERICHO,14T,Beer,68478.03
224,KERICHO,14T,"68,478.03",68478.03
225,KERICHO,14T,Keg,69335.07
226,KERICHO,14T,"69,335.07",69335.07
227,KERICHO,14T,Spirit,67752.33
228,KERICHO,14T,"67,752.33",67752.33
229,KERICHO,30T,Beer,109874.25
230,KERICHO,30T,"109,874.25",109874.25
231,KERICHO,30T,Keg,109978.2
232,KERICHO,30T,"109,978.20",109978.2
233,KERICHO,30T,Spirit,109125.2
234,KERICHO,30T,"109,125.20",109125.2
235,KERICHO,7.5T,Beer,52265.22
236,KERICHO,7.5T,"52,265.22",52265.22
237,KERICHO,7.5T,Keg,52334.13
238,KERICHO,7.5T,"52,334.13",52334.13
239,KERICHO,7.5T,Spirit,51523.17
240,KERICHO,7.5T,"51,523.17",51523.17
241,KERICHO,P/UP,Beer,47345.69
242,KERICHO,P/UP,"47,345.69",47345.69
243,KERICHO,P/UP,Spirit,46645.69
244,KERICHO,P/UP,"46,645.69",46645.69
245,KISII,14T,Beer,77462.18
246,KISII,14T,"77,462.18",77462.18
247,KISII,14T,Keg,77525.25
248,KISII,14T,"77,525.25",77525.25
249,KISII,14T,Spirit,76736.49
250,KISII,14T,"76,736.49",76736.49
251,KISII,30T,Beer,124305.75
252,KISII,30T,"124,305.75",124305.75
253,KISII,30T,Keg,124409.7
254,KISII,30T,"124,409.70",124409.7
255,KISII,30T,Spirit,123556.69
256,KISII,30T,"123,556.69",123556.69
257,KISII,7.5T,Beer,58879.02
258,KISII,7.5T,"58,879.02",58879.02
259,KISII,7.5T,Keg,58907.05
260,KISII,7.5T,"58,907.05",58907.05
261,KISII,7.5T,Spirit,58136.97
262,KISII,7.5T,"58,136.97",58136.97
263,KISII,P/UP,Beer,52850.52
264,KISII,P/UP,"52,850.52",52850.52
265,KISII,P/UP,Spirit,52150.52
266,KISII,P/UP,"52,150.52",52150.52
267,KITALE,14T,Beer,98577.75
268,KITALE,14T,"98,577.75",98577.75
269,KITALE,14T,Keg,98709.73
270,KITALE,14T,"98,709.73",98709.73
271,KITALE,14T,Spirit,97852.05
272,KITALE,14T,"97,852.05",97852.05
273,KITALE,30T,Beer,101968.56
274,KITALE,30T,"101,968.56",101968.56
275,KITALE,30T,Keg,98449.12
276,KITALE,30T,"98,449.12",98449.12
277,KITALE,30T,Spirit,157674.53
278,KITALE,30T,"157,674.53",157674.53
279,KITALE,7.5T,Beer,70980.0
280,KITALE,7.5T,"70,980.00",70980.0
281,KITALE,7.5T,Keg,75213.01
282,KITALE,7.5T,"75,213.01",75213.01
283,KITALE,7.5T,Spirit,74402.05
284,KITALE,7.5T,"74,402.05",74402.05
285,KITALE,P/UP,Beer,67997.69
286,KITALE,P/UP,"67,997.69",67997.69
287,KITALE,P/UP,Spirit,67297.69
288,KITALE,P/UP,"67,297.69",67297.69
289,LANET,14T,Beer,48504.56
290,LANET,14T,"48,504.56",48504.56
291,LANET,14T,Spirit,47778.86
292,LANET,14T,"47,778.86",47778.86
293,LANET,30T,Beer,77156.49
294,LANET,30T,"77,156.49",77156.49
295,LANET,30T,Spirit,76693.6
296,LANET,30T,"76,693.60",76693.6
297,LANET,7.5T,Beer,37371.09
298,LANET,7.5T,"37,371.09",37371.09
299,LANET,7.5T,Spirit,36629.04
300,LANET,7.5T,"36,629.04",36629.04
301,LANET,P/UP,Beer,33819.06
302,LANET,P/UP,"33,819.06",33819.06
303,LANET,P/UP,Spirit,33159.94
304,LANET,P/UP,"33,159.94",33159.94
305,MEMORIAL,14T,Spirit,13385.35
306,MEMORIAL,14T,"13,385.35",13385.35
307,MEMORIAL,30T,Spirit,20351.59
308,MEMORIAL,30T,"20,351.59",20351.59
309,MEMORIAL,7.5T,Spirit,10983.28
310,MEMORIAL,7.5T,"10,983.28",10983.28
311,MEMORIAL,P/UP,Spirit,9869.31
312,MEMORIAL,P/UP,"9,869.31",9869.31
313,MOGOTIO,14T,Beer,58525.67
314,MOGOTIO,14T,"58,525.67",58525.67
315,MOGOTIO,14T,Spirit,58459.1
316,MOGOTIO,14T,"58,459.10",58459.1
317,MOGOTIO,30T,Beer,92316.54
318,MOGOTIO,30T,"92,316.54",92316.54
319,MOGOTIO,30T,Spirit,91853.64
320,MOGOTIO,30T,"91,853.64",91853.64
321,MOGOTIO,7.5T,Beer,45476.46
322,MOGOTIO,7.5T,"45,476.46",45476.46
323,MOGOTIO,7.5T,Spirit,50860.0
324,MOGOTIO,7.5T,"50,860.00",50860.0
325,MOGOTIO,P/UP,Beer,41125.83
326,MOGOTIO,P/UP,"41,125.83",41125.83
327,MOGOTIO,P/UP,Spirit,40466.71
328,MOGOTIO,P/UP,"40,466.71",40466.71
329,NAIVASHA,14T,Beer,30842.66
330,NAIVASHA,14T,"30,842.66",30842.66
331,NAIVASHA,14T,Keg,46396.48
332,NAIVASHA,14T,"46,396.48",46396.48
333,NAIVASHA,14T,Spirit,30116.96
334,NAIVASHA,14T,"30,116.96",30116.96
335,NAIVASHA,30T,Beer,47840.66
336,NAIVASHA,30T,"47,840.66",47840.66
337,NAIVASHA,30T,Keg,41259.01
338,NAIVASHA,30T,"41,259.01",41259.01
339,NAIVASHA,30T,Spirit,47091.6
340,NAIVASHA,30T,"47,091.60",47091.6
341,NAIVASHA,7.5T,Beer,24353.97
342,NAIVASHA,7.5T,"24,353.97",24353.97
343,NAIVASHA,7.5T,Keg,24382.01
344,NAIVASHA,7.5T,"24,382.01",24382.01
345,NAIVASHA,7.5T,Spirit,23611.93
346,NAIVASHA,7.5T,"23,611.93",23611.93
347,NAIVASHA,P/UP,Beer,22052.44
348,NAIVASHA,P/UP,"22,052.44",22052.44
349,NAIVASHA,P/UP,Spirit,21352.44
350,NAIVASHA,P/UP,"21,352.44",21352.44
351,NAKURU,14T,Beer,45929.31
352,NAKURU,14T,"45,929.31",45929.31
353,NAKURU,14T,Keg,45992.38
354,NAKURU,14T,"45,992.38",45992.38
355,NAKURU,14T,Spirit,45203.61
356,NAKURU,14T,"45,203.61",45203.61
357,NAKURU,30T,Beer,54931.67
358,NAKURU,30T,"54,931.67",54931.67
359,NAKURU,30T,Keg,72985.96
360,NAKURU,30T,"72,985.96",72985.96
361,NAKURU,30T,Spirit,72132.95
362,NAKURU,30T,"72,132.95",72132.95
363,NAKURU,7.5T,Beer,35473.09
364,NAKURU,7.5T,"35,473.09",35473.09
365,NAKURU,7.5T,Keg,35501.12
366,NAKURU,7.5T,"35,501.12",35501.12
367,NAKURU,7.5T,Spirit,34731.04
368,NAKURU,7.5T,"34,731.04",34731.04
369,NAKURU,P/UP,Beer,32103.39
370,NAKURU,P/UP,"32,103.39",32103.39
371,NAKURU,P/UP,Spirit,31403.39
372,NAKURU,P/UP,"31,403.39",31403.39
373,NAROK,14T,Beer,41851.84
374,NAROK,14T,"41,851.84",41851.84
375,NAROK,14T,Keg,41914.91
376,NAROK,14T,"41,914.91",41914.91
377,NAROK,14T,Spirit,41126.14
378,NAROK,14T,"41,126.14",41126.14
379,NAROK,30T,Beer,43476.98
380,NAROK,30T,"43,476.98",43476.98
381,NAROK,30T,Keg,66218.03
382,NAROK,30T,"66,218.03",66218.03
383,NAROK,30T,Spirit,65365.02
384,NAROK,30T,"65,365.02",65365.02
385,NAROK,7.5T,Beer,32467.93
386,NAROK,7.5T,"32,467.93",32467.93
387,NAROK,7.5T,Keg,32495.96
388,NAROK,7.5T,"32,495.96",32495.96
389,NAROK,7.5T,Spirit,31725.88
390,NAROK,7.5T,"31,725.88",31725.88
391,NAROK,P/UP,Beer,29386.92
392,NAROK,P/UP,"29,386.92",29386.92
393,NAROK,P/UP,Spirit,28686.92
394,NAROK,P/UP,"28,686.92",28686.92
395,NJORO,14T,Keg,50284.46
396,NJORO,14T,"50,284.46",50284.46
397,NJORO,14T,Spirit,57862.5
398,NJORO,14T,"57,862.50",57862.5
399,NJORO,30T,Keg,80110.11
400,NJORO,30T,"80,110.11",80110.11
401,NJORO,30T,Spirit,79257.1
402,NJORO,30T,"79,257.10",79257.1
403,NJORO,7.5T,Keg,38664.46
404,NJORO,7.5T,"38,664.46",38664.46
405,NJORO,7.5T,Spirit,40727.56
406,NJORO,7.5T,"40,727.56",40727.56
407,NJORO,P/UP,Spirit,34262.84
408,NJORO,P/UP,"34,262.84",34262.84
409,NYAHURURU,14T,Beer,51294.41
410,NYAHURURU,14T,"51,294.41",51294.41
411,NYAHURURU,14T,Keg,51357.48
412,NYAHURURU,14T,"51,357.48",51357.48
413,NYAHURURU,14T,Spirit,50568.71
414,NYAHURURU,14T,"50,568.71",50568.71
415,NYAHURURU,30T,Beer,81787.19
416,NYAHURURU,30T,"81,787.19",81787.19
417,NYAHURURU,30T,Keg,81891.14
418,NYAHURURU,30T,"81,891.14",81891.14
419,NYAHURURU,30T,Spirit,81038.13
420,NYAHURURU,30T,"81,038.13",81038.13
421,NYAHURURU,7.5T,Beer,39427.26
422,NYAHURURU,7.5T,"39,427.26",39427.26
423,NYAHURURU,7.5T,Keg,39455.29
424,NYAHURURU,7.5T,"39,455.29",39455.29
425,NYAHURURU,7.5T,Spirit,38685.21
426,NYAHURURU,7.5T,"38,685.21",38685.21
427,NYAHURURU,P/UP,Beer,35677.7
428,NYAHURURU,P/UP,"35,677.70",35677.7
429,NYAHURURU,P/UP,Spirit,34977.7
430,NYAHURURU,P/UP,"34,977.70",34977.7
431,-,14T,Nbo,12696.17
432,RIVER,14T,"12,696.17",12696.17
433,-,30T,Nbo,18874.7
434,RIVER,30T,"18,874.70",18874.7
435,-,7.5T,Nbo,16499.55
436,RIVER,7.5T,"16,499.55",16499.55
437,RIVER,P/UP,"12,403.03",12403.03
438,-,14T,Nbo,11346.46
439,BABADOGO,14T,"11,346.46",11346.46
440,-,30T,Nbo,16698.21
441,BABADOGO,30T,"16,698.21",16698.21
442,-,7.5T,Nbo,16052.66
443,BABADOGO,7.5T,"16,052.66",16052.66
444,BABADOGO,P/UP,"12,403.03",12403.03
446,BURUBURU,14T,"11,346.46",11346.46
448,BURUBURU,30T,"16,698.21",16698.21
449,-,7.5T,Nbo,16052.67
450,BURUBURU,7.5T,"16,052.67",16052.67
451,BURUBURU,P/UP,"12,403.03",12403.03
453,CORNER,14T,"11,346.46",11346.46
455,CORNER,30T,"16,698.21",16698.21
457,CORNER,7.5T,"16,052.67",16052.67
458,CORNER,P/UP,"12,403.03",12403.03
460,DANDORA,14T,"11,346.46",11346.46
462,DANDORA,30T,"16,698.21",16698.21
464,DANDORA,7.5T,"16,052.67",16052.67
465,DANDORA,P/UP,"12,403.03",12403.03
467,GIKOMBA,14T,"11,346.46",11346.46
469,GIKOMBA,30T,"16,698.21",16698.21
471,GIKOMBA,7.5T,"16,052.67",16052.67
472,GIKOMBA,P/UP,"12,403.03",12403.03
474,THT,14T,"11,346.46",11346.46
476,THT,30T,"16,698.21",16698.21
478,THT,7.5T,"16,052.67",16052.67
479,THT,P/UP,"12,403.03",12403.03
481,KAWANGWARE,14T,"11,346.46",11346.46
483,KAWANGWARE,30T,"16,698.21",16698.21
485,KAWANGWARE,7.5T,"16,052.67",16052.67
486,KAWANGWARE,P/UP,"12,403.03",12403.03
488,KIBERA,14T,"11,346.46",11346.46
490,KIBERA,30T,"16,698.21",16698.21
492,KIBERA,7.5T,"16,052.66",16052.66
493,KIBERA,P/UP,"12,403.03",12403.03
494,-,14T,Nbo,13277.3
495,LIMURU,14T,"13,277.30",13277.3
496,-,30T,Nbo,19811.8
497,LIMURU,30T,"19,811.80",19811.8
499,LIMURU,7.5T,"16,052.66",16052.66
500,LIMURU,P/UP,"12,403.03",12403.03
502,MATHARE,14T,"11,346.46",11346.46
504,MATHARE,30T,"16,698.21",16698.21
506,MATHARE,7.5T,"16,052.67",16052.67
507,MATHARE,P/UP,"12,403.03",12403.03
509,MWIKI,14T,"11,346.46",11346.46
511,MWIKI,30T,"16,698.21",16698.21
513,MWIKI,7.5T,"16,052.66",16052.66
514,MWIKI,P/UP,"12,403.03",12403.03
516,NAIROBI,14T,"11,346.46",11346.46
518,NAIROBI,30T,"16,698.21",16698.21
520,NAIROBI,7.5T,"16,052.67",16052.67
521,NAIROBI,P/UP,"12,403.03",12403.03
530,EB,14T,"11,346.46",11346.46
532,EB,30T,"16,698.21",16698.21
534,EB,7.5T,"16,052.67",16052.67
535,EB,P/UP,"12,403.03",12403.03
536,-,14T,Nbo,14533.28
537,NGONG,14T,"14,533.28",14533.28
538,-,30T,Nbo,21837.15
539,NGONG,30T,"21,837.15",21837.15
540,-,7.5T,Nbo,16657.98
541,NGONG,7.5T,"16,657.98",16657.98
542,NGONG,P/UP,"12,403.03",12403.03
551,AREA,14T,"11,346.46",11346.46
553,AREA,30T,"16,698.21",16698.21
555,AREA,7.5T,"16,052.67",16052.67
556,AREA,P/UP,"12,403.03",12403.03
564,-,14T,Nbo,12771.07
565,RIVER,14T,"12,771.07",12771.07
566,-,30T,Nbo,19017.68
567,RIVER,30T,"19,017.68",19017.68
568,-,7.5T,Nbo,16622.1
569,RIVER,7.5T,"16,622.10",16622.1
570,-,P/UP,Nbo,12403.03
572,-,14T,Nbo,11421.35
573,BURUBURU,14T,"11,421.35",11421.35
574,-,30T,Nbo,16841.19
575,BURUBURU,30T,"16,841.19",16841.19
576,-,7.5T,Nbo,16772.67
577,BURUBURU,7.5T,"16,772.67",16772.67
581,CORNER,14T,"11,421.35",11421.35
583,CORNER,30T,"16,841.19",16841.19
585,CORNER,7.5T,"16,772.67",16772.67
588,TRANSFER-,30T,Nbo,20477.04
589,BDC-EAML,30T,"20,477.04",20477.04
591,GIKOMBA,14T,"11,421.35",11421.35
593,GIKOMBA,30T,"16,841.19",16841.19
595,GIKOMBA,7.5T,"16,772.67",16772.67
599,HURUMA,14T,"11,421.35",11421.35
601,HURUMA,30T,"16,841.19",16841.19
603,HURUMA,7.5T,"16,772.67",16772.67
605,HURUMA,P/UP,"12,403.03",12403.03
607,THT,14T,"11,421.35",11421.35
609,THT,30T,"16,841.19",16841.19
611,THT,7.5T,"16,772.67",16772.67
615,KAYOLE,14T,"11,421.35",11421.35
617,KAYOLE,30T,"16,841.19",16841.19
619,KAYOLE,7.5T,"16,772.67",16772.67
621,KAYOLE,P/UP,"12,403.03",12403.03
622,-,14T,Nbo,13352.19
623,LIMURU,14T,"13,352.19",13352.19
624,-,30T,Nbo,19954.78
625,LIMURU,30T,"19,954.78",19954.78
627,LIMURU,7.5T,"16,772.67",16772.67
631,NAIROBI,14T,"11,421.35",11421.35
633,NAIROBI,30T,"16,841.19",16841.19
634,-,7.5T,Nbo,16772.66
635,NAIROBI,7.5T,"16,772.66",16772.66
646,-,14T,Nbo,14608.18
647,NGONG,14T,"14,608.18",14608.18
648,-,30T,Nbo,21980.13
649,NGONG,30T,"21,980.13",21980.13
650,-,7.5T,Nbo,16862.68
651,NGONG,7.5T,"16,862.68",16862.68
