new_lane,product,tonnage,new_rate,matched_lane,matched_rate,score,abs_diff,pct_diff
KOLNGO F24- ATHIRIVER LAT BEER,BEER,14T,33717.07,KBL NBO F20 - ATHIRIVER 14T BEER,656.19,0.8,33060.88,5038.309026349075
NEO F24. BOMET 147 BEER,BEER,24T,57363.99,KBL NBO F20 - BOMET 14T BEER,893.87,0.7692307692307693,56470.119999999995,6317.486882880061
NBO F24- RUNGOMA 147 BEER,BEER,24T,99104.0,KBL NBO F20 - BUNGOMA 14T BEER,372.05,0.7906976744186046,98731.95,26537.27993549254
NBO F24- BUSIA 347 BEER,BEER,24T,110943.09,KBL NBO F20 - BUSIA 14T BEER,349.58,0.7692307692307693,110593.51,31636.10904513988
NDO F24-CHUKA 147 BEER,BEER,24T,30743.01,KBL NBO F20 - CHUKA 14T BEER,285.5,0.7692307692307693,30457.51,10668.129597197898
NBO F24 - ELDORET 147 BEER,BEER,24T,79998.73,KBL NBO F20 - ELDORET 14T BEER,990.52,0.8372093023255814,79008.20999999999,7976.437628720268
NBO F24 . EMOU 147 BEER,BEER,24T,34004.38,KBL NBO F20 - EMBU 14T BEER,57.53,0.7567567567567568,33946.85,59007.213627672514
KBLNEO F24- GIKOMBA 147 BEER,BEER,24T,15851.56,KBL NBO F20 - GIKOMBA 14T BEER,534.24,0.8695652173913043,15317.32,2867.1233902365975
F24 . HURLIGHUM DEF 147 BEER,BEER,24T,31508.82,KBL NBO F20 - HURLIGHUM DEF 14T Beer,111.04,0.8,31397.78,28276.098703170028
NBO F24 - INDUSTRIAL AREA 14T BEER,BEER,14T,12329.14,KBL NBO F20 - INDUSTRIAL AREA 14T BEER,111.04,0.9122807017543859,12218.099999999999,11003.33213256484
NBO F24 . ISIOLO 147 BEER,BEER,24T,57558.23,KBL NBO F20 - ISIOLO 14T BEER,296.15,0.8292682926829268,57262.08,19335.498902583153
NAO F24- KABARNET 147 BEER,BEER,24T,81725.2,KBL NBO F20 - KABARNET 14T BEER,752.24,0.8,80972.95999999999,10764.245453578644
NBO F24- KABATI 147 BEER,BEER,24T,16021.06,KBL NBO F20 - KABATI 14T BEER,923.65,0.8292682926829268,15097.41,1634.53797434093
NBO F24 - KANGEMA LAT BEER,BEER,14T,27165.18,KBL NBO F20 - Kangema 14T BEER,682.83,0.7906976744186046,26482.35,3878.322569307148
NGO F24. KIBERA 147 BEER,BEER,24T,10372.17,KBL NBO F20 - KIBERA 14T BEER,243.03,0.7804878048780488,10129.14,4167.855820269102
NBO F24 - KISH 147 BEER,BEER,24T,74580.04,KBL NBO F20 - KISII 14T BEER,462.18,0.7368421052631579,74117.86,16036.578822103942
NEO F24- KITALE 147 BEER,BEER,24T,4274.52,KBL NBO F20 - KITALE 14T BEER,577.75,0.7804878048780488,3696.7700000000004,639.8563392470793
NBO F24 - KITU 147 BEER,BEER,24T,41298.1,KBL NBO F20 - KITUI 14T BEER,500.1,0.7894736842105263,40798.0,8157.968406318736
NBO F24 - LANET 147 BEER,BEER,24T,46202.47,KBL NBO F20 - LANET 14T Beer,504.56,0.8205128205128205,45697.91,9056.98232123038
NBO F24- LIMURU 141 BEER,BEER,24T,15643.03,KBL NBO F20 - LIMURU 14T BEER,321.46,0.8292682926829268,15321.570000000002,4766.244633858024
NBO F24 - MACHAKOS 147 BEER,BEER,24T,22126.95,KBL NBO F20 - MACHAKOS 14T BEER,937.71,0.8444444444444444,21189.24,2259.6794318072753
NEO F24 - MARALAL 147 BEER,BEER,24T,73765.55,KBL NBO F20 - MARALAL 14T BEER,993.59,0.7906976744186046,72771.96,7324.143761511287
NEO F24. MATHARE 147 BEER,BEER,24T,10764.17,KBL NBO F20 - MATHARE 14T Beer,243.03,0.7906976744186046,10521.14,4329.152779492244
KBLNGO F24- MERU 14T BEER,BEER,14T,49332.59,KBL NBO F20 - MERU 14T BEER,698.56,0.9,48634.03,6962.040483279891
NBO F24 - MOGOTIO 147 BEER,BEER,24T,56023.16,KBL NBO F20 - MOGOTIO 14T Beer,525.67,0.8372093023255814,55497.490000000005,10557.47712443168
NBO F24 - MTONGWE 147 BEER,BEER,24T,417378.03,KBL NBO F20 - MTONGWE 14T Beer,216.9,0.8372093023255814,417161.13,192328.78284923927
NBO F24 - MURANGA 147 BEER,BEER,24T,24495.0,KBL NBO F20 - MURANGA 14T BEER,354.08,0.8372093023255814,24140.92,6817.928151830095
NBO F24 - MWIKI14T BEER,BEER,14T,10764.17,KBL NBO F20 - MWIKI 14T BEER,243.03,0.8717948717948718,10521.14,4329.152779492244
KBLNOO F24 - NAIROBI 147 BEER,BEER,24T,13476.02,KBL NBO F20 - NAIROBI 14T BEER,111.04,0.8695652173913043,13364.98,12036.18515850144
NBO F24 - NRB NASRA 14T BEER,BEER,14T,10666.17,KBL NBO F20 - NRB NASRA 14T Beer,243.03,0.8888888888888888,10423.14,4288.8285396864585
NBO F24 - RONGAI14T BEER,BEER,14T,11899.85,KBL NBO F20 - Rongai 14T BEER,401.88,0.8780487804878049,11497.970000000001,2861.045585746989
NBO F24- RUIRU 147 BEER,BEER,24T,13476.82,KBL NBO F20 - RUIRU 14T BEER,111.04,0.8205128205128205,13365.779999999999,12036.90561959654
NBO F24- TALA 147 BEER,BEER,24T,29031.72,KBL NBO F20 - TALA 14T BEER,983.38,0.8108108108108109,28048.34,2852.2381988651387
NBO F24. UKUNDA 147 BEER,BEER,24T,124170.03,KBL NBO F20 - UKUNDA 14T Beer,446.86,0.8292682926829268,123723.17,27687.23313789554
NBO F24- CHUKA 307 BEUR BEER,BEER,24T,69045.12,KBL NBO F20 - CHUKA 30T BEER,813.39,0.7441860465116279,68231.73,8388.562682108213
KOLNBO F24. EMALI30T BEER,BEER,30T,52623.99,KBL NBO F20 - EMALI 30T BEER,57.14,0.9047619047619048,52566.85,91996.58732936646
KOLNDO F24- EMBU 30T BEER,BEER,30T,56317.1,KBL NBO F20 - EMBU 30T BEER,26.67,0.85,56290.43,211062.72965879267
NBO F24- GARISSA 30T BEER,BEER,30T,149174.63,KBL NBO F20 - GARISSA 30T BEER,578.2,0.8837209302325582,148596.43,25699.832237979932
XBLNGO F24. GIKOMBA 307 BEER,BEER,24T,10006.2,KBL NBO F20 - GIKOMBA 30T BEER,814.48,0.8260869565217391,9191.720000000001,1128.5384539829095
KGLNAG F24 - GiLGil SOY MEER BEER,BEER,24T,55779.97,KBL NBO F20 - GILGIL 14T BEER,130.55,0.625,55649.42,42626.90157027958
NIG F24- HURLIGHUM DEF 307 BEER,BEER,24T,18086.2,KBL NBO F20 - HURLIGHUM DEF 30T Beer,814.48,0.7924528301886793,17271.72,2120.582457518908
NBO F24-HURUMA 307 BEER,BEER,24T,15075.87,KBL NBO F20 - Huruma 30T BEER,452.01,0.8292682926829268,14623.86,3235.295679299131
NGO F24- KABARNET 30T BEER,BEER,30T,123.95,KBL NBO F20 - KABARNET 30T BEER,800.0,0.8444444444444444,676.05,84.50625
F24. KAPSABET 30T BEER,BEER,30T,128215.14,KBL NBO F20 - Kapsabet 30T BEER,448.83,0.8095238095238095,127766.31,28466.5263017178
NAO F24- KERICHO 307 BEER,BEER,24T,106344.77,KBL NBO F20 - KERICHO 30T BEER,874.25,0.7906976744186046,105470.52,12064.114383757507
NBO F24- LOKICHOGIO SOT 6 BEER,BEER,24T,321264.99,KBL NBO F20 - LOKICHOGIO 14T BEER,951.53,0.8,320313.45999999996,33662.99118262167
NBO F24- MARALAL 307 BEER,BEER,24T,297006.31,KBL NBO F20 - MARALAL 30T BEER,426.85,0.8372093023255814,296579.46,69480.95583928781
NAO F24- MARSAQIT 307 ACER BEER,BEER,24T,197506.59,KBL NBO F20 - MARSABIT 30T BEER,896.52,0.6938775510204082,196610.07,21930.360728148844
NGO F24- MATHARE 307 BEER,BEER,24T,14798.8,KBL NBO F20 - MATHARE 30T Beer,51.59,0.7906976744186046,14747.21,28585.404148090714
NBO F24- MOGOTIO 30T BEER,BEER,30T,89138.2,KBL NBO F20 - MOGOTIO 30T Beer,316.54,0.8837209302325582,88821.66,28060.16933089025
NBO F24. MURANGA 30T BEER,BEER,30T,34535.32,KBL NBO F20 - MURANGA 30T BEER,619.51,0.8837209302325582,33915.81,5474.618650223564
NBO F24- MWIKIZOT BEER,BEER,24T,14798.8,KBL NBO F20 - MWIKI 14T BEER,243.03,0.7692307692307693,14555.769999999999,5989.289388141381
NBO F24- NAIROBI THT 30T GEER BEER,BEER,30T,14798.8,KBL NBO F20 - NAIROBI THT 30T Beer,51.59,0.8301886792452831,14747.21,28585.404148090714
NBO F24- NAIVASHA 307 BEER,BEER,24T,45257.04,KBL NBO F20 - NAIVASHA 30T BEER,840.66,0.8444444444444444,44416.38,5283.512954107487
NBO F24- NANOK JOT BLER BEER,BEER,24T,41275.44,KBL NBO F20 - NAROK 14T BEER,851.84,0.6511627906976745,40423.600000000006,4745.445154019535
KALNBO F24- NKUBU JOT BEER,BEER,24T,86540.65,KBL NBO F20 - NKUBU 14T BEER,884.96,0.8095238095238095,85655.68999999999,9679.046510576749
NSO F24- NYALI30T BEER,BEER,30T,189644.62,KBL NBO F20 - NYALI 30T Beer,859.08,0.8205128205128205,188785.54,21975.315453741212
NBO F24. NYERI30T BEER,BEER,30T,9208.23,KBL NBO F20 - NYERI 30T BEER,775.74,0.8717948717948718,8432.49,1087.0252919792713
NBO F24 - OTHAYA JOT DEER BEER,BEER,24T,49452.75,KBL NBO F20 - OTHAYA 14T Beer,760.31,0.7111111111111111,48692.44,6404.2877247438555
NBO F24- RONGAI30T BEER,BEER,30T,17263.63,KBL NBO F20 - Rongai 30T BEER,975.11,0.8780487804878049,16288.52,1670.4289772435932
NOO F24- AUIRU JOT DEER IBEER,BEER,24T,17439.73,KBL NBO F20 - RUIRU 14T BEER,111.04,0.5909090909090909,17328.69,15605.808717579248
NBO F24- TALA 307 BEER,BEER,24T,32979.0,KBL NBO F20 - TALA 30T BEER,11.23,0.8108108108108109,32967.77,293568.7444345503
NBO F24- TAVETA 307 BEER,BEER,24T,135259.09,KBL NBO F20 - TAVETA 30T BEER,686.97,0.8292682926829268,134572.12,19589.228059449466
NGO F24- THIKA 207 GEER BEER,BEER,24T,23278.04,KBL NBO F20 - THIKA 30T BEER,112.29,0.6511627906976745,23165.75,20630.287648054145
NBO F24- UKUNDA 30T BEER,BEER,30T,142485.0,KBL NBO F20 - UKUNDA 30T Beer,158.36,0.8780487804878049,142326.64,89875.37256883051
NDO F24-ATHIAIVER 7.57 BEER,BEER,24T,13274.85,KBL NBO F20 - ATHIRIVER 7.5T BEER,864.13,0.7659574468085106,12410.720000000001,1436.209829539537
NBO F24 - BOMET 7.5T BEER,BEER,7.5T,43687.77,KBL NBO F20 - BOMET 7.5T BEER,938.54,0.8717948717948718,42749.229999999996,4554.865003089905
NBO F24 - BURUBURU 7.57 BEER,BEER,24T,11138.83,KBL NBO F20 - Buruburu 7.5T BEER,725.33,0.8444444444444444,10413.5,1435.6913404932927
KBLNGO F24. GUSIA 7.5T BEER,BEER,7.5T,7.51,KBL NBO F20 - BUSIA 7.5T BEER,515.4,0.8571428571428571,507.89,98.54287931703531
NOO F24 - DAGORETTI CORNER 7.5T BEER,BEER,7.5T,10024.95,KBL NBO F20 - DAGORETTI CORNER 7.5T Beer,725.33,0.8813559322033898,9299.62,1282.1226200488054
KBLNBO F24. DANDORA 7.5T BEER,BEER,7.5T,7.57,KBL NBO F20 - DANDORA 7.5T Beer,794.24,0.9565217391304348,786.67,99.04688759065269
NBO F24 - EMALI7.ST BEER,BEER,24T,26766.48,KBL NBO F20 - EMALI 7.5T BEER,671.92,0.8205128205128205,26094.56,3883.581378735564
F24-GATUNDU 7.57 BEER,BEER,24T,2.51,F24 -BDC -GATUNDU - Beer - 14T,869.38,0.7567567567567568,866.87,99.71128850445145
KBLNBO F24 - GILGIL 7.S7 BEER,BEER,24T,7.57,KBL NBO F20 - GILGIL 7.5T BEER,988.26,0.8636363636363636,980.6899999999999,99.23400724505697
NBO F24- NURLIGHUM DEF 7.57 BEER,BEER,24T,10158.83,KBL NBO F20 - HURLIGHUM DEF 7.5T Beer,725.33,0.8301886792452831,9433.5,1300.5804254615139
NBO F24. HURUMA 7.57 BEER,BEER,24T,11138.83,KBL NBO F20 - HURUMA 7.5T Beer,725.33,0.8292682926829268,10413.5,1435.6913404932927
NGO F24- KAGIO 7.5T BEER,BEER,7.5T,23871.4,KBL NBO F20 - Kagio 7.5T BEER,717.76,0.8205128205128205,23153.640000000003,3225.819215336603
NBO F24- KERICHO 7.5T BEER,BEER,7.5T,2.57,KBL NBO F20 - KERICHO 7.5T BEER,265.22,0.8837209302325582,262.65000000000003,99.03099313777241
NEO F24 . KIBERA 7.57 BEER,BEER,24T,9050.36,KBL NBO F20 - KIBERA 7.5T BEER,794.24,0.7804878048780488,8256.12,1039.4993956486705
NBO F24 - KIBWEZI7.ST BEER,BEER,24T,7.57,KBL NBO F20 - KIBWEZI 7.5T BEER,877.22,0.8372093023255814,869.65,99.13704657896535
HOO F24- KIS 7.57 BEER,BEER,24T,7.57,KBL NBO F20 - KISII 7.5T BEER,879.02,0.6486486486486487,871.4499999999999,99.13881367886964
NBO F24 - KITALE 7.57 BEER,BEER,24T,68220.4,KBL NBO F20 - KITALE 7.5T BEER,980.0,0.8292682926829268,67240.4,6861.265306122448
KALNGO F24 - KITUI7.ST BEER,BEER,24T,32141.62,KBL NBO F20 - KITUI 7.5T BEER,156.76,0.8095238095238095,31984.86,20403.712681806584
NEO F24 - LIMURU 7.5T BEER,BEER,7.5T,7.51,KBL NBO F20 - LIMURU 7.5T BEER,354.45,0.8292682926829268,346.94,97.88122443221894
KBLNOO F24 - LOITOKTOK 7.57 BEER,BEER,24T,37151.73,KBL NBO F20 - LOITOKTOK 7.5T Beer,269.09,0.88,36882.64000000001,13706.432792002679
KDLUNGO F24 - MACHAKOS 7.57 BEER,BEER,24T,17200.08,KBL NBO F20 - MACHAKOS 7.5T BEER,12.32,0.8163265306122449,17187.760000000002,139511.03896103898
NBO F24 - MAKONGENI 7.57 BEER,BEER,24T,12466.24,KBL NBO F20 - MAKONGENI 7.5T Beer,493.25,0.851063829787234,11972.99,2427.3674607197163
NOO F246. MATHARE 7.57 BEER,BEER,24T,8345.32,KBL NBO F20 - MATHARE 7.5T Beer,794.24,0.7727272727272727,7551.08,950.7302578565673
NEO F24 . MAUA 7.5T BEER,BEER,7.5T,7.51,KBL NBO F20 - MAUA 7.5T BEER,265.22,0.8108108108108109,257.71000000000004,97.16838850765403
NSO F24- MOGOTIO 7.5T BEER,BEER,7.5T,43134.94,KBL NBO F20 - MOGOTIO 7.5T Beer,476.46,0.8372093023255814,42658.48,8953.213281282795
NDO F24- MTONGWE 7.57 BEER,BEER,24T,7.51,KBL NBO F20 - MTONGWE 7.5T Beer,576.73,0.7906976744186046,569.22,98.69783087406586
NBO F24 - MURANGA 7.ST BEER,BEER,24T,2.57,KBL NBO F20 - MURANGA 7.5T BEER,56.22,0.8372093023255814,53.65,95.42867307008181
NBO F24- MWIKI 7.57 BEER,BEER,24T,9050.36,KBL NBO F20 - MWIKI 7.5T BEER,794.24,0.8205128205128205,8256.12,1039.4993956486705
KBLNGO F24- NAKURU 7.57 BEER,BEER,24T,2.57,KBL NBO F20 - NAKURU 7.5T BEER,473.09,0.8636363636363636,470.52,99.45676298378744
KBLNBO F24- NANYUKI7.ST BEER,BEER,24T,37201.69,KBL NBO F20 - NANYUKI 7.5T BEER,320.09,0.9130434782608695,36881.600000000006,11522.259364553722
NBO F24 - NGONG 7.5T BEER,BEER,7.5T,12793.88,KBL NBO F20 - NGONG 7.5T BEER,414.16,0.8717948717948718,12379.72,2989.115317751593
NBO F24- NIORO 7.57 BEER,BEER,24T,36531.7,KBL NBO F20 - NJORO 7.5T BEER,561.01,0.7692307692307693,35970.689999999995,6411.773408673642
NBO F24 . NRB NASRA 7.ST BEER,BEER,24T,9050.36,KBL NBO F20 - NRB NASRA 7.5T Beer,794.24,0.8444444444444444,8256.12,1039.4993956486705
NBO F24 - NVERI7.5T BEER,BEER,7.5T,30898.75,KBL NBO F20 - NYERI 7.5T BEER,888.52,0.8205128205128205,30010.23,3377.5525593121147
NBO F24 - OTHAYA 7.57 DEER BEER,BEER,24T,7.57,KBL NBO F20 - OTHAYA 7.5T Beer,950.0,0.7555555555555555,942.43,99.20315789473683
NBO F24 . TAVETA 7.57 BEER,BEER,24T,63839.27,KBL NBO F20 - TAVETA 7.5T BEER,111.45,0.8292682926829268,63727.82,57180.637056976215
NAO F24- VOI7.ST BEER,BEER,24T,62651.65,KBL NBO F20 - VOI 7.5T BEER,846.12,0.7428571428571429,61805.53,7304.582092374603
KBLNGO F24- WAJIR7.5T BEER,BEER,7.5T,7.51,KBL NBO F20 - WAJIR 7.5T Beer,218.35,0.9047619047619048,210.84,96.56056789558049
NBO F24- NAIROBI T POEER BEER,BEER,24T,985.86,KBL NBO F20 - NAIROBI 14T BEER,111.04,0.7391304347826086,874.82,787.8422190201729
NBO F24- AUALOUAU 147 KEG,KEG,24T,13538.63,KBL NBO F20 - MAUA 14T KEG,80.63,0.6666666666666666,13458.0,16691.05791888875
NBO F24 - CHANGAMWE 14T KEG,KEG,14T,145235.84,KBL NBO F20 - Changamwe 14T KEG,946.77,0.8888888888888888,144289.07,15240.139632645732
NOO F24 - DANDORA 14T KEG,KEG,14T,13933.18,KBL NBO F20 - Dandora 14T KEG,576.72,0.8292682926829268,13356.460000000001,2315.93494243307
NBO F24 - DONYO 14T KEG,KEG,14T,19148.67,KBL NBO F20 - Donyo 14T KEG,69.69,0.8648648648648649,19078.98,27376.926388291
f24- E00 KEG,KEG,24T,78702.68,KBL NBO F20 - VOI 30T KEG,941.26,0.5185185185185185,77761.42,8261.417674181415
NBO F24 - EMALI 147 KEG,KEG,24T,34697.19,KBL NBO F20 - EMALI 14T KEG,764.42,0.8108108108108109,33932.770000000004,4439.0217419743085
NBO F24 - EMU 14T KEG,KEG,14T,34066.19,KBL NBO F20 - EMBU 14T KEG,120.6,0.8235294117647058,33945.590000000004,28147.255389718084
NBO F24 - GILGIL 14T KEG,KEG,14T,36097.75,KBL NBO F20 - GILGIL 14T Keg,193.62,0.8717948717948718,35904.13,18543.606032434665
NBO F24. GITHUNGURI 147 KEG,KEG,24T,19186.64,KBL NBO F20 - GITHUNGURI 14T KEG,937.38,0.851063829787234,18249.26,1946.836928460176
KGLNGO F24. HOLA LAT KEG,KEG,14T,113399.22,KBL NBO F20 - Hola 14T KEG,846.31,0.7368421052631579,112552.91,13299.253228722338
NBO F24-IKUTHA 147 KEG,KEG,24T,98994.9,KBL NBO F20 - IKUTHA 14T Keg,244.91,0.8205128205128205,98749.98999999999,40320.930137601565
KOLUNDO F24-JUJA 147 KEG,KEG,24T,14479.11,KBL NBO F20 - Juja 14T KEG,133.79,0.7692307692307693,14345.32,10722.266238134389
NBO F24 KABATI 141 KEG,KEG,24T,25416.08,KBL NBO F20 - KABATI 14T KEG,293.96,0.8205128205128205,25122.120000000003,8546.10151040958
NOG F24-KAGIO 147 KEG,KEG,24T,26056.05,KBL NBO F20 - Kagio 14T KEG,793.93,0.7567567567567568,25262.12,3181.9077248623935
KELNBO F24- TALA 147 KEG,KEG,24T,15439.59,KBL NBO F20 - TALA 14T KEG,195.5,0.8421052631578947,15244.09,7797.488491048594
NBO F24. KAHURO 14T KEG,KEG,14T,27858.11,KBL NBO F20 - Kahuro 14T KEG,786.44,0.8717948717948718,27071.670000000002,3442.30583388434
NBO F24- KAKAMEGA 147 KEG,KEG,24T,93505.82,KBL NBO F20 - KAKAMEGA 14T KEG,782.4,0.8372093023255814,92723.42000000001,11851.152862985688
NBO F24. KANGARI 147 KEG,KEG,24T,23955.38,KBL NBO F20 - KANGARI 14T Keg,803.45,0.8292682926829268,23151.93,2881.5645030804653
NBO F24 - KAPSABET 14T KEG,KEG,14T,99654.22,KBL NBO F20 - Kapsabet 14T KEG,212.94,0.8837209302325582,99441.28,46699.20165304781
KELNGO F24- KARATINA 141 KEG,KEG,24T,34204.95,KBL NBO F20 - KARATINA 14T KEG,262.19,0.8260869565217391,33942.759999999995,12945.863686639459
NGO F24- KERUGOYA 147 KEG,KEG,24T,53571.37,KBL NBO F20 - Kerugoya 14T KEG,370.78,0.7906976744186046,53200.590000000004,14348.29009115918
NBO F24 - KIAMBU 14T KEG,KEG,14T,14291.71,KBL NBO F20 - Kiambu 14T KEG,942.56,0.8717948717948718,13349.15,1416.2652775420133
NBO F24. KIANYAGA 147 KEG,KEG,24T,34625.57,KBL NBO F20 - Kianyaga 14T KEG,691.4,0.8372093023255814,33934.17,4908.037315591553
KBLNBO F24- KIBWEZI 147 KEG,KEG,24T,50695.83,KBL NBO F20 - KIBWEZI 14T Keg,89.62,0.9090909090909091,50606.21,56467.54072751618
KOLNGO F24- KIKUYU 147 KEG,KEG,24T,12558.03,KBL NBO F20 - Kikuyu 14T KEG,174.12,0.8095238095238095,12383.91,7112.284631288766
NOG F24- KILIFI 147 KEG,KEG,24T,124616.34,KBL NBO F20 - KILIFI 14T Keg,12.16,0.7692307692307693,124604.18,1024705.4276315789
NGO F24- KINAMBA 14T KEG,KEG,14T,60508.92,KBL NBO F20 - KINAMBA 14T KEG,102.98,0.8292682926829268,60405.939999999995,58657.93357933578
XBLNBO F24- KISII 147 KEG,KEG,24T,73963.47,KBL NBO F20 - KISII 14T KEG,525.25,0.85,73438.22,13981.574488338887
NGO F24 - KISUMU 44T KEG,KEG,44T,85269.54,KBL NBO F20 - Kisumu 14T KEG,56.67,0.7692307692307693,85212.87,150366.80783483322
NNO F24- KITAUE 147 KEG,KEG,24T,92262.83,KBL NBO F20 - KITALE 14T KEG,709.73,0.717948717948718,91553.1,12899.70833979119
NGO F24. KITENGELA 147 KEG,KEG,24T,21274.12,KBL NBO F20 - Kitengela 14T KEG,965.43,0.8,20308.69,2103.5901101063773
KBLNBO F24.LIMURU 147 KEG,KEG,24T,15704.85,KBL NBO F20 - LIMURU 14T Keg,384.54,0.9047619047619048,15320.31,3984.0614760493054
